,Title,Price,Category,Subcategory,Location,City,Condition,Brand
32,Led 1200 High Power Studio Light for Video and Pictures,37000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ikeja,,
33,Logitech M150 Wireless Mouse Rechargeable,8500.0,Computer Accessories ,computer-accessories,Oyo State,Ibadan,Brand New,
34,Brand New LG 50 Inches Smart,210000.0,TV & DVD Equipment,tv-dvd-equipment,Lagos State,Ojo,Brand New,
35,Laptop MSI GF63 8GB Intel Core I5 HDD+SSD 256GB,680000.0,Laptops & Computers,computers-and-laptops,Lagos State,Ikeja,Used,
36,Starlink Starlink Internet Satellite Dish,555000.0,Networking Products,networking-products,Lagos State,Ikeja,Brand New,
37,LG 50 Inches Frameless Smart TV,210000.0,TV & DVD Equipment,tv-dvd-equipment,Lagos State,Ojo,Brand New,
38,Laptop HP Pavilion 15 16GB Intel Core I3 HDD 1T,315000.0,Laptops & Computers,computers-and-laptops,Lagos State,Oshodi,Used,HP
39,Usb Type C to 19.5v Laptop Converter Pin,5000.0,Computer Accessories ,computer-accessories,Lagos State,Ajah,Brand New,
40,Dell WD 15 Docking Station Without Charger,12000.0,Computer Accessories ,computer-accessories,Lagos State,Ikeja,Used,Dell
41,Spy Wall Clock Hidden Camera 1080p,80000.0,Security & Surveillance,security-and-surveillance,Lagos State,Ikeja,,
42,Laptop Dell Latitude 7490 8GB Intel Core I5 SSD 256GB,290000.0,Laptops & Computers,computers-and-laptops,Lagos State,Ikeja,Used,Dell
43,Digital Persona Fingerprint Recognition System,90000.0,Computer Accessories ,computer-accessories,Lagos State,Ikeja,Brand New,
44,Cpu Thermal Paste or Processor Paste,2500.0,Computer Accessories ,computer-accessories,Lagos State,Ikeja,Brand New,
45,Fancy Enhanced Nintendo Switch Controller,80000.0,Video Game Consoles,video-games-and-consoles,Abuja (FCT),Wuse 2,Brand New,
46,Hp 65w Usb-c Laptop Charger (671r3aa),35000.0,Computer Accessories ,computer-accessories,Lagos State,Ikeja,Brand New,HP
47,Laptop Stand,6500.0,Computer Accessories ,computer-accessories,Lagos State,Ikeja,Brand New,
48,Solar Powered Alarm Pte Security Camera Dual Lens,70000.0,Security & Surveillance,security-and-surveillance,Lagos State,Ikeja,,
49,Laptop HP EliteBook 840 G6 8GB Intel Core I5 SSD 256GB,380000.0,Laptops & Computers,computers-and-laptops,Oyo State,Ibadan,Used,HP
50,Playstation4 Game,20000.0,Video Games,videogames,Lagos State,Ajah,Used,
51,Laptop HP Victus 15 16GB AMD Ryzen 5 SSD 512GB,1000000.0,Laptops & Computers,computers-and-laptops,Rivers State,Obio-Akpor,Used,HP
52,Laptop Apple MacBook Pro 8GB Intel Core I5 HDD 500GB,135000.0,Laptops & Computers,computers-and-laptops,Ogun State,Ado-Odo/Ota,Used,Apple
53,Full Color Indoor Camera With Audio,22000.0,Security & Surveillance,security-and-surveillance,Lagos State,Ojo,,
54,Osee Gostream Duet 8 Iso 8-Channel Video Switcher,1675000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ikeja,,
55,Smart Tuya Zigbee Gateway,28900.0,Security & Surveillance,security-and-surveillance,Lagos State,Isolo,,
56,4g Network Boster,90000.0,Networking Products,networking-products,Lagos State,Ojo,Brand New,
57,Mechanical Keyboard,25000.0,Computer Accessories ,computer-accessories,Lagos State,Ikeja,Brand New,
58,Clone JBL Extreme 3 (Wireless Speaker),160000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Ipaja,Brand New,
59,85w Safe 1 Macbook Pro Original Charger,16500.0,Computer Accessories ,computer-accessories,Lagos State,Ikeja,Used,
60,Sony Playstation 5 Pad,120000.0,Video Game Consoles,video-games-and-consoles,Lagos State,Ajah,Brand New,Sony
61,Laptop Apple MacBook Pro 2019 16GB Intel Core I7 SSD 512GB,700000.0,Laptops & Computers,computers-and-laptops,Lagos State,Ikeja,Used,Apple
62,Zealot S67 Bluetooth Speaker,60000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Ikeja,Brand New,
63,Led 660 Pro Light,150000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ojo,,
64,Dvon Professional Dual Wireless 9090,330000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Ikeja,Brand New,
65,Laptop Toshiba Satellite Pro C650 4GB Intel Pentium HDD 250GB,75000.0,Laptops & Computers,computers-and-laptops,Lagos State,Apapa,Used,Toshiba
66,Hp Deskjet 2720 All-in-one Printer (3xv18b),90000.0,Printers & Scanners,printers-and-scanners,Lagos State,Ikeja,Brand New,HP
67,"Lg 29"" Ultrawide Hd Flicker-Safe Led Backlit Ips Monitor",380000.0,Computer Monitors,computer-monitors,Lagos State,Ikeja,Used,
68,P11 Zeallot Speaker 60w JBL Sounds,72000.0,Audio & Music Equipment,audio-and-music-equipment,Oyo State,Ibadan,Brand New,
69,Godox Flash London Used,30000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Oshodi,,
